route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,246076224607624,246076224607624+1204563+1,Grand Central,1213,1,,5,1,1
3,246076224607624,246076224607624+1204566+1,Grand Central,1221,1,,5,1,1
3,246076224607624,246076224607624+1204569+1,Grand Central,1225,1,,5,1,1
3,246076224607624,246076224607624+1204573+1,Grand Central,1229,1,,5,1,1
3,246076224607624,246076224607624+1204576+1,Grand Central,1231,1,,5,1,1
3,246076224607624,246076224607624+1204579+1,Grand Central,1233,1,,5,1,1
3,246076224607624,246076224607624+1204582+1,Grand Central,1237,1,,5,1,1
3,246076224607624,246076224607624+1204586+0,Grand Central,1239,1,,5,1,0
3,246076224607624,246076224607624+1204590+0,Grand Central,1241,1,,5,1,0
3,246076224607624,246076224607624+1204594+1,Harrison,1244,0,,16,1,1
3,246076224607624,246076224607624+1204598+1,Harrison,1248,0,,16,1,1
3,246076224607624,246076224607624+1204602+1,Harrison,1254,0,,16,1,1
3,246076224607624,246076224607624+1204606+1,New Rochelle,1256,0,,16,1,1
3,246076224607624,246076224607624+1204610+1,Harrison,1260,0,,16,1,1
3,246076224607624,246076224607624+1204616+1,Harrison,1264,0,,16,1,1
3,246076224607624,246076224607624+1204621+1,New Rochelle,1268,0,,16,1,1
3,246076224607624,246076224607624+1204626+1,Harrison,1270,0,,16,1,1
3,246076224607624,246076224607624+1204631+1,Harrison,1274,0,,16,1,1
3,246076224607624,246076224607624+1204635+0,Grand Central,1275,1,,5,1,0
3,246076224607624,246076224607624+1204639+0,Grand Central,1279,1,,5,1,0
3,246076224607624,246076224607624+1204642+0,Grand Central,1299,1,,5,1,0
3,246076224607624,246076224607624+1204648+0,Stamford,1300,0,,16,1,0
3,246076224607624,246076224607624+1204655+0,Grand Central,1301,1,,5,1,0
3,246076224607624,246076224607624+1204658+0,Stamford,1302,0,,16,1,0
3,246076224607624,246076224607624+1204663+1,Grand Central,1303,1,,5,1,1
3,246076224607624,246076224607624+1204666+0,Stamford,1304,0,,16,1,0
3,246076224607624,246076224607624+1204670+1,Grand Central,1305,1,,5,1,1
3,246076224607624,246076224607624+1204673+0,Greenwich,1306,0,,16,1,0
3,246076224607624,246076224607624+1204676+1,Grand Central,1307,1,,5,1,1
3,246076224607624,246076224607624+1204679+1,Greenwich,1308,0,,16,1,1
3,246076224607624,246076224607624+1204682+1,Grand Central,1309,1,,5,1,1
3,246076224607624,246076224607624+1204685+1,Greenwich,1310,0,,16,1,1
3,246076224607624,246076224607624+1204691+1,Grand Central,1311,1,,5,1,1
3,246076224607624,246076224607624+1204695+1,Stamford,1312,0,,16,1,1
3,246076224607624,246076224607624+1204698+1,Stamford,1314,0,,16,1,1
3,246076224607624,246076224607624+1204703+1,Grand Central,1315,1,,5,1,1
3,246076224607624,246076224607624+1204706+0,Stamford,1316,0,,16,1,0
3,246076224607624,246076224607624+1204709+1,Grand Central,1317,1,,5,1,1
3,246076224607624,246076224607624+1204712+0,Stamford,1318,0,,16,1,0
3,246076224607624,246076224607624+1204718+0,Stamford,1320,0,,16,1,0
3,246076224607624,246076224607624+1204723+1,Grand Central,1321,1,,5,1,1
3,246076224607624,246076224607624+1204727+0,Stamford,1322,0,,16,1,0
3,246076224607624,246076224607624+1204733+0,Stamford,1324,0,,16,1,0
3,246076224607624,246076224607624+1204738+1,Grand Central,1325,1,,5,1,1
3,246076224607624,246076224607624+1204742+0,Stamford,1326,0,,16,1,0
3,246076224607624,246076224607624+1204745+1,Grand Central,1327,1,,5,1,1
3,246076224607624,246076224607624+1204749+0,Stamford,1328,0,,16,1,0
3,246076224607624,246076224607624+1204754+0,Stamford,1330,0,,16,1,0
3,246076224607624,246076224607624+1204760+1,Grand Central,1331,1,,5,1,1
3,246076224607624,246076224607624+1204763+0,Stamford,1332,0,,16,1,0
3,246076224607624,246076224607624+1204768+1,Grand Central,1333,1,,5,1,1
3,246076224607624,246076224607624+1204772+0,Stamford,1334,0,,16,1,0
3,246076224607624,246076224607624+1204777+1,Grand Central,1335,1,,5,1,1
3,246076224607624,246076224607624+1204781+0,Stamford,1336,0,,16,1,0
3,246076224607624,246076224607624+1204786+0,Stamford,1338,0,,16,1,0
3,246076224607624,246076224607624+1204791+0,Grand Central,1339,1,,5,1,0
3,246076224607624,246076224607624+1204796+0,Stamford,1340,0,,16,1,0
3,246076224607624,246076224607624+1204802+0,Grand Central,1341,1,,5,1,0
3,246076224607624,246076224607624+1204807+0,Stamford,1342,0,,16,1,0
3,246076224607624,246076224607624+1204812+1,Stamford,1346,0,,16,1,1
3,246076224607624,246076224607624+1204817+0,Grand Central,1347,1,,5,1,0
3,246076224607624,246076224607624+1204820+0,Grand Central,1349,1,,5,1,0
3,246076224607624,246076224607624+1204823+0,Grand Central,1351,1,,5,1,0
3,246076224607624,246076224607624+1204827+1,Stamford,1352,0,,16,1,1
3,246076224607624,246076224607624+1204831+0,Grand Central,1353,1,,5,1,0
3,246076224607624,246076224607624+1204835+0,Grand Central,1355,1,,5,1,0
3,246076224607624,246076224607624+1204839+0,Grand Central,1357,1,,5,1,0
3,246076224607624,246076224607624+1204843+1,Stamford,1358,0,,16,1,1
3,246076224607624,246076224607624+1204849+0,Grand Central,1359,1,,5,1,0
3,246076224607624,246076224607624+1204854+1,Stamford,1360,0,,16,1,1
3,246076224607624,246076224607624+1204863+0,Grand Central,1361,1,,5,1,0
3,246076224607624,246076224607624+1204867+1,Old Greenwich,1362,0,,16,1,1
3,246076224607624,246076224607624+1204873+0,Grand Central,1363,1,,5,1,0
3,246076224607624,246076224607624+1204877+0,Grand Central,1365,1,,5,1,0
3,246076224607624,246076224607624+1204881+0,Grand Central,1367,1,,5,1,0
3,246076224607624,246076224607624+1204886+1,Stamford,1368,0,,16,1,1
3,246076224607624,246076224607624+1204890+0,Grand Central,1369,1,,5,1,0
3,246076224607624,246076224607624+1204895+1,Stamford,1370,0,,16,1,1
3,246076224607624,246076224607624+1204900+0,Grand Central,1371,1,,5,1,0
3,246076224607624,246076224607624+1204904+0,Grand Central,1373,1,,5,1,0
3,246076224607624,246076224607624+1204908+1,Stamford,1374,0,,16,1,1
3,246076224607624,246076224607624+1204915+0,Grand Central,1375,1,,5,1,0
3,246076224607624,246076224607624+1204919+1,Stamford,1376,0,,16,1,1
3,246076224607624,246076224607624+1204923+0,Grand Central,1379,1,,5,1,0
3,246076224607624,246076224607624+1204927+0,Grand Central,1381,1,,5,1,0
3,246076224607624,246076224607624+1204931+1,Stamford,1382,0,,16,1,1
3,246076224607624,246076224607624+1204936+0,Grand Central,1383,1,,5,1,0
3,246076224607624,246076224607624+1204940+0,Stamford,1384,0,,16,1,0
3,246076224607624,246076224607624+1204946+0,Grand Central,1385,1,,5,1,0
3,246076224607624,246076224607624+1204949+0,Stamford,1386,0,,16,1,0
3,246076224607624,246076224607624+1204956+0,Grand Central,1387,1,,5,1,0
3,246076224607624,246076224607624+1204961+0,Stamford,1388,0,,16,1,0
3,246076224607624,246076224607624+1204968+0,Grand Central,1389,1,,5,1,0
3,246076224607624,246076224607624+1204974+0,Stamford,1390,0,,16,1,0
3,246076224607624,246076224607624+1204980+0,Grand Central,1391,1,,5,1,0
3,246076224607624,246076224607624+1204984+0,Stamford,1392,0,,16,1,0
